GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US02013,"Aleutians East Borough, Alaska",3425,108,103,169,170,238,277,216,269,237,382,445,263,246,146,66,44,16,30
0500000US02016,"Aleutians West Census Area, Alaska",5750,240,359,240,275,529,493,505,433,421,482,633,424,382,174,85,38,27,10
0500000US02020,"Anchorage Municipality, Alaska",296112,21766,20547,19210,18426,24169,27102,24461,20776,17145,18171,19192,19614,16041,11501,7997,4338,3030,2626
0500000US02050,"Bethel Census Area, Alaska",18040,1863,1814,1743,1594,1349,1501,1240,1072,892,913,1006,856,913,500,391,188,134,71
0500000US02060,"Bristol Bay Borough, Alaska",890,52,51,59,45,38,52,39,72,63,65,90,104,75,35,18,15,10,7
0500000US02068,"Denali Borough, Alaska",2232,66,42,98,125,300,123,146,176,116,192,199,169,318,85,22,51,4,0
0500000US02070,"Dillingham Census Area, Alaska",4975,478,430,394,379,392,392,336,380,177,254,288,312,333,159,114,92,32,33
0500000US02090,"Fairbanks North Star Borough, Alaska",99653,7897,7016,5860,6192,10850,10178,8137,6581,5651,5456,5574,5948,5189,4453,1952,1263,883,573
0500000US02100,"Haines Borough, Alaska",2518,159,143,183,123,38,148,153,142,175,161,182,202,95,395,117,44,48,10
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2132,102,109,85,52,104,112,114,136,82,163,176,240,242,196,116,49,40,14
0500000US02110,"Juneau City and Borough, Alaska",32330,1901,2043,1798,1992,2117,2526,2322,2356,2014,2184,2421,2587,2192,1764,935,578,188,412
0500000US02122,"Kenai Peninsula Borough, Alaska",58220,3652,3551,3800,3643,3297,3632,3630,3408,3473,3544,4062,4749,4687,3860,2377,1188,908,759
0500000US02130,"Ketchikan Gateway Borough, Alaska",13804,840,880,833,801,870,938,922,898,815,894,1011,991,1161,798,508,269,177,198
0500000US02150,"Kodiak Island Borough, Alaska",13649,1077,1115,824,1032,817,1204,1068,821,974,828,828,972,841,649,265,174,90,70
0500000US02158,"Kusilvak Census Area, Alaska",8198,1086,867,894,750,654,725,537,401,323,366,422,448,269,194,105,68,70,19
0500000US02164,"Lake and Peninsula Borough, Alaska",1375,97,103,101,92,132,104,95,85,77,69,95,114,102,28,34,23,17,7
0500000US02170,"Matanuska-Susitna Borough, Alaska",103464,7526,7753,8152,7089,6523,7148,7503,7360,6340,6408,6943,7385,6304,4387,3201,1692,931,819
0500000US02180,"Nome Census Area, Alaska",9925,957,1008,918,799,768,814,681,591,521,501,562,670,393,294,226,110,83,29
0500000US02185,"North Slope Borough, Alaska",9797,813,764,611,534,565,680,988,716,505,701,822,946,525,270,193,92,39,33
0500000US02188,"Northwest Arctic Borough, Alaska",7734,810,833,683,624,598,699,524,427,383,397,458,395,307,226,135,134,49,52
0500000US02195,"Petersburg Borough, Alaska",3255,206,217,197,198,302,161,159,160,174,184,150,259,187,279,183,157,31,51
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",6474,394,443,451,387,327,403,383,344,374,415,535,540,518,389,294,164,79,34
0500000US02220,"Sitka City and Borough, Alaska",8738,412,589,598,509,488,667,634,603,567,542,585,708,568,432,314,162,206,154
0500000US02230,"Skagway Municipality, Alaska",1061,66,63,22,60,41,80,127,96,68,71,67,121,59,62,28,18,7,5
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6876,509,489,585,539,299,463,460,361,444,440,442,549,410,422,194,144,79,47
0500000US02261,"Valdez-Cordova Census Area, Alaska",9301,582,703,609,432,510,638,785,430,659,638,710,605,848,689,276,95,25,67
0500000US02275,"Wrangell City and Borough, Alaska",2484,116,89,171,165,68,139,124,90,118,190,155,300,211,173,95,130,104,46
0500000US02282,"Yakutat City and Borough, Alaska",689,62,42,50,41,43,60,37,47,36,37,67,41,41,38,19,22,3,3
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5415,403,462,383,383,323,391,343,317,307,226,350,392,396,297,211,99,64,68
0500000US04001,"Apache County, Arizona",71522,4908,5528,5833,5845,4982,4738,4143,3999,3688,3999,4677,4424,4338,3637,2546,2029,1171,1037
0500000US04003,"Cochise County, Arizona",126279,7645,8090,7439,7942,7696,8178,7853,7438,6207,6772,7520,7370,9579,9021,6291,5297,3270,2671
0500000US04005,"Coconino County, Arizona",140217,7860,7838,8780,16137,17483,10642,8613,8264,6902,7145,7831,8520,7943,6236,4212,2801,1483,1527
