state,year,week,total_patients,ili_patients,providers
Alabama,2023,11,46015,873,105
Alaska,2023,11,3931,37,12
Arizona,2023,11,22032,370,43
Arkansas,2023,11,14548,254,45
California,2023,11,284626,9390,205
Colorado,2023,11,49883,1583,98
Connecticut,2023,11,40704,757,70
Delaware,2023,11,14260,151,27
District of Columbia,2023,11,6320,332,4
Florida,2023,11,255504,7811,360
Georgia,2023,11,72980,1833,100
Hawaii,2023,11,30913,746,40
Idaho,2023,11,8787,106,29
Illinois,2023,11,72782,1714,180
Indiana,2023,11,55010,1057,103
Iowa,2023,11,3440,52,16
Kansas,2023,11,15357,252,34
Kentucky,2023,11,35565,714,76
Louisiana,2023,11,41292,610,87
Maine,2023,11,10229,125,51
Maryland,2023,11,45770,1015,67
Massachusetts,2023,11,74554,1125,95
Michigan,2023,11,85392,1077,152
Minnesota,2023,11,33324,467,68
Mississippi,2023,11,12059,304,32
Missouri,2023,11,27635,457,41
Montana,2023,11,7856,102,28
Nebraska,2023,11,13471,413,84
Nevada,2023,11,18006,189,30
New Hampshire,2023,11,1131,8,10
New Jersey,2023,11,28325,1108,32
New Meico,2023,11,22131,851,40
New York,2023,11,55363,1291,122
North Carolina,2023,11,85585,1642,140
North Dakota,2023,11,3020,43,9
Ohio,2023,11,40143,1050,80
Oklahoma,2023,11,16866,350,35
Oregon,2023,11,41019,592,88
Pennsylvania,2023,11,65543,917,101
Rhode Island,2023,11,12170,124,24
South Carolina,2023,11,34952,760,38
South Dakota,2023,11,8425,70,32
Tennessee,2023,11,34126,657,101
Teas,2023,11,54467,1336,59
Utah,2023,11,18833,465,47
Vermont,2023,11,5447,32,14
Virginia,2023,11,109069,3207,173
Washington,2023,11,46700,718,72
West Virginia,2023,11,11668,293,45
Wisconsin,2023,11,20985,256,34
Wyoming,2023,11,2501,46,14
Commonwealth of the Northern Mariana Islands,2023,11,,,
Puerto Rico,2023,11,2056,57,7
Virgin Islands,2023,11,1158,22,4
New York City,2023,11,102860,4424,104
Alabama,2023,12,47339,894,104
Alaska,2023,12,3591,66,12
Arizona,2023,12,30474,332,43
Arkansas,2023,12,14531,215,47
California,2023,12,283809,9337,208
Colorado,2023,12,49240,1549,98
Connecticut,2023,12,43422,797,70
Delaware,2023,12,13684,147,24
District of Columbia,2023,12,6445,328,4
Florida,2023,12,259405,7575,359
Georgia,2023,12,79918,2116,99
Hawaii,2023,12,33793,891,40
Idaho,2023,12,8586,103,30
Illinois,2023,12,73965,1689,179
Indiana,2023,12,55623,947,102
Iowa,2023,12,5546,60,16
Kansas,2023,12,17985,198,35
Kentucky,2023,12,35881,802,76
Louisiana,2023,12,43040,664,87
Maine,2023,12,12614,143,39
Maryland,2023,12,45155,1047,67
Massachusetts,2023,12,79218,1305,95
Michigan,2023,12,85834,1150,152
Minnesota,2023,12,35664,474,68
Mississippi,2023,12,12360,273,30
Missouri,2023,12,27858,469,41
Montana,2023,12,7722,116,28
Nebraska,2023,12,13786,402,84
Nevada,2023,12,18939,178,32
New Hampshire,2023,12,1546,9,10
New Jersey,2023,12,28543,1102,31
New Meico,2023,12,20461,689,38
New York,2023,12,58516,1281,121
North Carolina,2023,12,92832,1748,142
North Dakota,2023,12,3294,49,9
Ohio,2023,12,41515,995,82
Oklahoma,2023,12,16784,399,34
Oregon,2023,12,39935,625,77
Pennsylvania,2023,12,67702,923,100
Rhode Island,2023,12,12726,138,24
South Carolina,2023,12,35637,820,38
South Dakota,2023,12,9195,76,32
Tennessee,2023,12,35201,714,99
Teas,2023,12,54876,1255,42
Utah,2023,12,18902,482,48
Vermont,2023,12,5680,42,14
Virginia,2023,12,111992,3250,173
Washington,2023,12,47857,735,72
West Virginia,2023,12,12875,309,46
Wisconsin,2023,12,21678,297,34
Wyoming,2023,12,2313,24,12
Commonwealth of the Northern Mariana Islands,2023,12,,,
Puerto Rico,2023,12,2079,56,6
Virgin Islands,2023,12,1338,15,4
New York City,2023,12,105038,5067,102
Alabama,2023,13,46594,783,106
Alaska,2023,13,3371,59,12
Arizona,2023,13,21542,311,44
Arkansas,2023,13,14966,207,45
California,2023,13,276508,9267,208
Colorado,2023,13,48929,1310,98
Connecticut,2023,13,43551,778,70
Delaware,2023,13,12905,152,25
District of Columbia,2023,13,6580,341,4
Florida,2023,13,261991,7462,358
Georgia,2023,13,80419,1957,102
Hawaii,2023,13,29860,797,39
Idaho,2023,13,8727,72,30
Illinois,2023,13,72476,1425,178
Indiana,2023,13,54537,850,102
Iowa,2023,13,5195,60,15
Kansas,2023,13,17762,198,34
Kentucky,2023,13,36813,644,77
Louisiana,2023,13,43451,600,87
Maine,2023,13,14245,166,51
Maryland,2023,13,44034,936,65
Massachusetts,2023,13,78988,1330,95
Michigan,2023,13,82669,997,152
Minnesota,2023,13,34691,525,68
Mississippi,2023,13,12838,255,32
Missouri,2023,13,27930,414,41
Montana,2023,13,7568,98,28
Nebraska,2023,13,16022,425,83
Nevada,2023,13,19332,180,32
New Hampshire,2023,13,1102,8,9
New Jersey,2023,13,28186,1069,31
New Meico,2023,13,21788,765,37
New York,2023,13,57740,1249,121
North Carolina,2023,13,92538,1697,141
North Dakota,2023,13,3215,48,9
Ohio,2023,13,40006,896,80
Oklahoma,2023,13,17850,387,35
Oregon,2023,13,38807,571,87
Pennsylvania,2023,13,66185,866,101
Rhode Island,2023,13,12942,143,24
South Carolina,2023,13,35931,866,38
South Dakota,2023,13,8608,75,30
Tennessee,2023,13,35551,706,99
Teas,2023,13,58438,1424,45
Utah,2023,13,17253,446,48
Vermont,2023,13,5655,37,14
Virginia,2023,13,109161,2920,173
Washington,2023,13,47294,717,72
West Virginia,2023,13,12940,290,46
Wisconsin,2023,13,20817,270,34
Wyoming,2023,13,2206,24,13
Commonwealth of the Northern Mariana Islands,2023,13,,,
Puerto Rico,2023,13,1810,49,6
Virgin Islands,2023,13,1150,6,4
New York City,2023,13,107919,5189,104
Alabama,2023,14,46718,706,106
Alaska,2023,14,3583,66,12
Arizona,2023,14,21754,271,43
Arkansas,2023,14,14051,162,45
California,2023,14,267558,8525,207
Colorado,2023,14,50114,1333,98
Connecticut,2023,14,43037,706,70
Delaware,2023,14,13069,104,26
District of Columbia,2023,14,5884,273,4
Florida,2023,14,259322,7263,359
Georgia,2023,14,75614,1721,102
Hawaii,2023,14,34241,885,39
Idaho,2023,14,8237,87,29
Illinois,2023,14,72127,1252,180
Indiana,2023,14,54750,753,103
Iowa,2023,14,4956,42,15
Kansas,2023,14,17212,164,33
Kentucky,2023,14,33365,532,76
Louisiana,2023,14,42534,550,87
Maine,2023,14,13632,145,47
Maryland,2023,14,43036,811,65
Massachusetts,2023,14,78577,1251,95
Michigan,2023,14,83484,911,153
Minnesota,2023,14,29910,455,67
Mississippi,2023,14,12702,274,32
Missouri,2023,14,27978,374,41
Montana,2023,14,7717,89,28
Nebraska,2023,14,15526,378,84
Nevada,2023,14,17258,123,31
New Hampshire,2023,14,1262,16,9
New Jersey,2023,14,27600,975,31
New Meico,2023,14,22005,720,39
New York,2023,14,54609,1056,121
North Carolina,2023,14,89118,1527,139
North Dakota,2023,14,3069,55,9
Ohio,2023,14,37349,722,79
Oklahoma,2023,14,17563,373,35
Oregon,2023,14,39821,483,89
Pennsylvania,2023,14,47319,560,98
Rhode Island,2023,14,13280,128,23
South Carolina,2023,14,34703,717,38
South Dakota,2023,14,8305,76,32
Tennessee,2023,14,33903,639,100
Teas,2023,14,54501,1406,44
Utah,2023,14,17076,381,48
Vermont,2023,14,5537,33,14
Virginia,2023,14,104494,2613,173
Washington,2023,14,43970,648,72
West Virginia,2023,14,9749,184,41
Wisconsin,2023,14,21083,256,34
Wyoming,2023,14,2188,26,13
Commonwealth of the Northern Mariana Islands,2023,14,,,
Puerto Rico,2023,14,1780,53,7
Virgin Islands,2023,14,1188,11,4
New York City,2023,14,101113,4472,105
Alabama,2023,15,46751,750,104
Alaska,2023,15,3563,81,12
Arizona,2023,15,23479,330,43
Arkansas,2023,15,14737,159,46
California,2023,15,271461,8204,206
Colorado,2023,15,50321,1333,98
Connecticut,2023,15,42790,712,70
Delaware,2023,15,12530,112,25
District of Columbia,2023,15,6413,256,4
Florida,2023,15,253673,7401,359
Georgia,2023,15,78753,1708,101
Hawaii,2023,15,34950,969,39
Idaho,2023,15,8469,85,30
Illinois,2023,15,72048,1112,178
Indiana,2023,15,56587,713,103
Iowa,2023,15,5056,67,15
Kansas,2023,15,18023,185,35
Kentucky,2023,15,35301,523,76
Louisiana,2023,15,41539,551,87
Maine,2023,15,14102,147,46
Maryland,2023,15,45338,775,67
Massachusetts,2023,15,81574,1275,94
Michigan,2023,15,86282,807,152
Minnesota,2023,15,34528,377,67
Mississippi,2023,15,12637,246,30
Missouri,2023,15,28403,306,41
Montana,2023,15,7792,93,28
Nebraska,2023,15,15854,337,83
Nevada,2023,15,19833,154,32
New Hampshire,2023,15,1122,9,9
New Jersey,2023,15,27607,890,31
New Meico,2023,15,23015,677,39
New York,2023,15,53138,917,122
North Carolina,2023,15,88548,1346,140
North Dakota,2023,15,3256,41,9
Ohio,2023,15,40914,793,84
Oklahoma,2023,15,18753,367,35
Oregon,2023,15,40035,497,78
Pennsylvania,2023,15,67790,714,100
Rhode Island,2023,15,12779,109,23
South Carolina,2023,15,33446,664,38
South Dakota,2023,15,8466,66,31
Tennessee,2023,15,36110,669,99
Teas,2023,15,59400,1520,43
Utah,2023,15,18766,419,48
Vermont,2023,15,5937,31,14
Virginia,2023,15,106585,2372,173
Washington,2023,15,45878,569,72
West Virginia,2023,15,10964,153,40
Wisconsin,2023,15,22214,233,34
Wyoming,2023,15,2341,36,13
Commonwealth of the Northern Mariana Islands,2023,15,,,
Puerto Rico,2023,15,2026,48,7
Virgin Islands,2023,15,1123,9,4
New York City,2023,15,100058,3790,102
Alabama,2023,16,47445,770,104
Alaska,2023,16,3314,65,12
Arizona,2023,16,22996,285,44
Arkansas,2023,16,15200,201,46
California,2023,16,274733,7882,207
Colorado,2023,16,50569,1268,98
Connecticut,2023,16,43960,597,70
Delaware,2023,16,13657,96,26
District of Columbia,2023,16,6148,182,4
Florida,2023,16,257497,7234,358
Georgia,2023,16,80017,1600,102
Hawaii,2023,16,34510,875,38
Idaho,2023,16,8398,84,30
Illinois,2023,16,72389,1047,177
Indiana,2023,16,56187,737,102
Iowa,2023,16,4715,48,14
Kansas,2023,16,17099,148,32
Kentucky,2023,16,35347,464,76
Louisiana,2023,16,42023,521,87
Maine,2023,16,13677,134,47
Maryland,2023,16,45651,715,65
Massachusetts,2023,16,73945,973,95
Michigan,2023,16,84554,783,151
Minnesota,2023,16,34276,389,67
Mississippi,2023,16,12911,289,31
Missouri,2023,16,27375,311,41
Montana,2023,16,6016,81,27
Nebraska,2023,16,14945,300,82
Nevada,2023,16,19640,195,32
New Hampshire,2023,16,1545,5,10
New Jersey,2023,16,29932,826,32
New Meico,2023,16,22717,617,38
New York,2023,16,58401,892,120
North Carolina,2023,16,91438,1133,137
North Dakota,2023,16,3503,73,9
Ohio,2023,16,40354,679,82
Oklahoma,2023,16,17191,281,34
Oregon,2023,16,39944,521,88
Pennsylvania,2023,16,68123,655,99
Rhode Island,2023,16,13503,82,23
South Carolina,2023,16,35640,638,38
South Dakota,2023,16,9318,60,32
Tennessee,2023,16,35562,629,100
Teas,2023,16,62146,1671,58
Utah,2023,16,18823,380,48
Vermont,2023,16,5797,24,13
Virginia,2023,16,109860,2312,173
Washington,2023,16,46083,594,71
West Virginia,2023,16,10712,128,43
Wisconsin,2023,16,21470,229,34
Wyoming,2023,16,2300,21,12
Commonwealth of the Northern Mariana Islands,2023,16,,,
Puerto Rico,2023,16,2027,70,7
Virgin Islands,2023,16,1047,3,4
New York City,2023,16,109374,3684,104
Alabama,2023,17,47776,795,104
Alaska,2023,17,3388,56,12
Arizona,2023,17,22819,306,43
Arkansas,2023,17,14648,195,45
California,2023,17,283898,7566,208
Colorado,2023,17,49654,1240,98
Connecticut,2023,17,41879,562,70
Delaware,2023,17,13138,89,26
District of Columbia,2023,17,6424,235,4
Florida,2023,17,254196,7420,359
Georgia,2023,17,79077,1610,102
Hawaii,2023,17,34577,812,38
Idaho,2023,17,8699,96,29
Illinois,2023,17,69330,937,175
Indiana,2023,17,55138,736,102
Iowa,2023,17,4809,36,14
Kansas,2023,17,16028,157,32
Kentucky,2023,17,35142,543,74
Louisiana,2023,17,42132,573,87
Maine,2023,17,13681,101,47
Maryland,2023,17,44983,688,65
Massachusetts,2023,17,77503,960,94
Michigan,2023,17,85560,773,154
Minnesota,2023,17,35014,448,67
Mississippi,2023,17,12720,253,30
Missouri,2023,17,27284,371,41
Montana,2023,17,7639,78,28
Nebraska,2023,17,15276,338,83
Nevada,2023,17,18203,137,30
New Hampshire,2023,17,1271,3,10
New Jersey,2023,17,28635,764,32
New Meico,2023,17,22645,688,37
New York,2023,17,57230,907,122
North Carolina,2023,17,87439,1045,140
North Dakota,2023,17,3267,66,9
Ohio,2023,17,40123,708,80
Oklahoma,2023,17,17112,253,35
Oregon,2023,17,41388,505,88
Pennsylvania,2023,17,65997,614,99
Rhode Island,2023,17,12539,114,23
South Carolina,2023,17,34566,645,37
South Dakota,2023,17,8632,73,31
Tennessee,2023,17,35801,715,99
Teas,2023,17,61546,1593,59
Utah,2023,17,18299,391,47
Vermont,2023,17,5358,30,13
Virginia,2023,17,108783,2445,173
Washington,2023,17,45809,548,72
West Virginia,2023,17,11330,141,42
Wisconsin,2023,17,21406,207,34
Wyoming,2023,17,2229,18,12
Commonwealth of the Northern Mariana Islands,2023,17,,,
Puerto Rico,2023,17,2010,79,7
Virgin Islands,2023,17,1022,13,4
New York City,2023,17,114232,4104,105
Alabama,2023,18,44445,789,104
Alaska,2023,18,3893,52,12
Arizona,2023,18,21991,330,42
Arkansas,2023,18,14602,192,44
California,2023,18,281054,7901,205
Colorado,2023,18,51559,1244,98
Connecticut,2023,18,42450,599,70
Delaware,2023,18,13372,102,24
District of Columbia,2023,18,5883,225,4
Florida,2023,18,251679,7434,359
Georgia,2023,18,79698,1649,101
Hawaii,2023,18,34168,837,40
Idaho,2023,18,8612,74,30
Illinois,2023,18,74394,944,179
Indiana,2023,18,54735,680,101
Iowa,2023,18,4575,35,14
Kansas,2023,18,17063,175,31
Kentucky,2023,18,34287,519,74
Louisiana,2023,18,42704,615,87
Maine,2023,18,13783,100,47
Maryland,2023,18,45164,738,66
Massachusetts,2023,18,78101,954,94
Michigan,2023,18,86014,950,153
Minnesota,2023,18,34952,423,67
Mississippi,2023,18,12428,232,30
Missouri,2023,18,27582,337,41
Montana,2023,18,7753,82,28
Nebraska,2023,18,15293,303,83
Nevada,2023,18,17455,104,30
New Hampshire,2023,18,1086,6,9
New Jersey,2023,18,28523,761,32
New Meico,2023,18,22890,645,37
New York,2023,18,51655,579,97
North Carolina,2023,18,90057,1070,137
North Dakota,2023,18,3438,53,9
Ohio,2023,18,39977,698,84
Oklahoma,2023,18,16159,228,34
Oregon,2023,18,41437,447,88
Pennsylvania,2023,18,66060,623,98
Rhode Island,2023,18,12263,111,24
South Carolina,2023,18,34316,629,37
South Dakota,2023,18,8681,67,31
Tennessee,2023,18,36422,773,100
Teas,2023,18,57536,1674,59
Utah,2023,18,18485,358,48
Vermont,2023,18,5637,25,13
Virginia,2023,18,109815,2543,173
Washington,2023,18,45862,510,72
West Virginia,2023,18,10938,499,44
Wisconsin,2023,18,21673,214,34
Wyoming,2023,18,2237,25,12
Commonwealth of the Northern Mariana Islands,2023,18,,,
Puerto Rico,2023,18,1543,45,7
Virgin Islands,2023,18,1130,12,4
New York City,2023,18,110610,4332,105
Alabama,2023,19,45848,744,104
Alaska,2023,19,3916,50,12
Arizona,2023,19,22289,279,44
Arkansas,2023,19,15261,138,44
California,2023,19,284521,8167,202
Colorado,2023,19,50550,1167,98
Connecticut,2023,19,44081,579,70
Delaware,2023,19,13484,103,24
District of Columbia,2023,19,6410,268,4
Florida,2023,19,251476,7242,356
Georgia,2023,19,80830,1895,102
Hawaii,2023,19,33971,766,39
Idaho,2023,19,8604,61,30
Illinois,2023,19,73277,827,178
Indiana,2023,19,55616,679,101
Iowa,2023,19,4651,27,14
Kansas,2023,19,16281,132,31
Kentucky,2023,19,32303,427,74
Louisiana,2023,19,43384,542,87
Maine,2023,19,13850,111,47
Maryland,2023,19,46213,778,66
Massachusetts,2023,19,82238,1110,95
Michigan,2023,19,89669,871,153
Minnesota,2023,19,34731,386,67
Mississippi,2023,19,11776,189,28
Missouri,2023,19,27843,311,41
Montana,2023,19,7471,75,28
Nebraska,2023,19,15662,270,83
Nevada,2023,19,17850,127,29
New Hampshire,2023,19,1172,5,9
New Jersey,2023,19,28297,767,32
New Meico,2023,19,22143,563,37
New York,2023,19,69118,967,121
North Carolina,2023,19,90542,1061,135
North Dakota,2023,19,3380,57,9
Ohio,2023,19,38997,721,77
Oklahoma,2023,19,17721,221,35
Oregon,2023,19,40803,464,88
Pennsylvania,2023,19,65276,637,98
Rhode Island,2023,19,13236,99,22
South Carolina,2023,19,35028,616,38
South Dakota,2023,19,8494,68,31
Tennessee,2023,19,36173,696,100
Teas,2023,19,58664,1511,57
Utah,2023,19,18721,352,48
Vermont,2023,19,5686,29,12
Virginia,2023,19,111978,2583,174
Washington,2023,19,45548,495,72
West Virginia,2023,19,10536,479,43
Wisconsin,2023,19,21925,235,34
Wyoming,2023,19,2129,15,11
Commonwealth of the Northern Mariana Islands,2023,19,,,
Puerto Rico,2023,19,1987,73,6
Virgin Islands,2023,19,817,0,4
New York City,2023,19,112170,4711,104
Alabama,2023,20,47486,736,104
Alaska,2023,20,3952,61,12
Arizona,2023,20,21688,269,44
Arkansas,2023,20,14694,130,44
California,2023,20,286036,8073,203
Colorado,2023,20,49755,1107,98
Connecticut,2023,20,43254,564,70
Delaware,2023,20,13287,102,23
District of Columbia,2023,20,6316,271,4
Florida,2023,20,250778,7204,358
Georgia,2023,20,79479,1812,102
Hawaii,2023,20,33893,776,39
Idaho,2023,20,8930,71,30
Illinois,2023,20,17127,174,179
Indiana,2023,20,52458,607,102
Iowa,2023,20,3647,28,14
Kansas,2023,20,16456,101,33
Kentucky,2023,20,30519,318,76
Louisiana,2023,20,43192,553,87
Maine,2023,20,14285,74,47
Maryland,2023,20,45977,831,66
Massachusetts,2023,20,83950,1081,95
Michigan,2023,20,86163,830,150
Minnesota,2023,20,34110,403,67
Mississippi,2023,20,12459,216,30
Missouri,2023,20,26984,225,41
Montana,2023,20,7538,59,28
Nebraska,2023,20,14904,282,82
Nevada,2023,20,17351,142,29
New Hampshire,2023,20,994,7,8
New Jersey,2023,20,27022,816,29
New Meico,2023,20,21018,548,38
New York,2023,20,59264,1018,120
North Carolina,2023,20,89387,1006,135
North Dakota,2023,20,3336,58,9
Ohio,2023,20,37315,696,76
Oklahoma,2023,20,21026,209,35
Oregon,2023,20,42520,432,88
Pennsylvania,2023,20,65830,580,96
Rhode Island,2023,20,12430,95,22
South Carolina,2023,20,34583,606,39
South Dakota,2023,20,8356,47,30
Tennessee,2023,20,35704,625,101
Teas,2023,20,44009,1165,57
Utah,2023,20,19016,339,48
Vermont,2023,20,5624,26,12
Virginia,2023,20,111473,2410,174
Washington,2023,20,46732,492,71
West Virginia,2023,20,10946,124,43
Wisconsin,2023,20,21028,170,34
Wyoming,2023,20,1953,7,11
Commonwealth of the Northern Mariana Islands,2023,20,,,
Puerto Rico,2023,20,1960,77,6
Virgin Islands,2023,20,766,1,4
New York City,2023,20,111536,4608,104
Alabama,2023,21,43221,622,103
Alaska,2023,21,4087,71,12
Arizona,2023,21,21942,282,44
Arkansas,2023,21,14798,167,44
California,2023,21,280464,8133,198
Colorado,2023,21,49766,971,98
Connecticut,2023,21,43599,507,70
Delaware,2023,21,11879,99,21
District of Columbia,2023,21,5239,245,4
Florida,2023,21,245907,7101,358
Georgia,2023,21,77822,1698,100
Hawaii,2023,21,33546,695,40
Idaho,2023,21,9302,47,30
Illinois,2023,21,68311,829,173
Indiana,2023,21,54623,611,100
Iowa,2023,21,3590,29,14
Kansas,2023,21,15801,107,32
Kentucky,2023,21,28314,332,71
Louisiana,2023,21,42673,507,87
Maine,2023,21,13995,91,47
Maryland,2023,21,45441,775,65
Massachusetts,2023,21,83783,1066,93
Michigan,2023,21,87544,726,150
Minnesota,2023,21,34535,393,67
Mississippi,2023,21,11860,266,29
Missouri,2023,21,27991,270,41
Montana,2023,21,7823,67,28
Nebraska,2023,21,15319,283,83
Nevada,2023,21,17310,108,29
New Hampshire,2023,21,819,1,9
New Jersey,2023,21,27924,752,31
New Meico,2023,21,20348,489,35
New York,2023,21,58342,964,118
North Carolina,2023,21,87306,963,131
North Dakota,2023,21,3530,68,9
Ohio,2023,21,37167,622,76
Oklahoma,2023,21,20122,176,33
Oregon,2023,21,1358,10,4
Pennsylvania,2023,21,64827,570,94
Rhode Island,2023,21,12266,76,23
South Carolina,2023,21,32920,460,38
South Dakota,2023,21,8722,50,31
Tennessee,2023,21,34959,569,100
Teas,2023,21,27751,708,41
Utah,2023,21,18463,278,47
Vermont,2023,21,5770,21,12
Virginia,2023,21,111419,2300,175
Washington,2023,21,46728,516,71
West Virginia,2023,21,11159,104,44
Wisconsin,2023,21,21610,192,34
Wyoming,2023,21,2334,14,12
Commonwealth of the Northern Mariana Islands,2023,21,,,
Puerto Rico,2023,21,2109,67,6
Virgin Islands,2023,21,1100,6,4
New York City,2023,21,108790,4413,103
Alabama,2023,22,45086,684,105
Alaska,2023,22,3370,45,12
Arizona,2023,22,20433,226,43
Arkansas,2023,22,14490,133,44
California,2023,22,247735,7630,199
Colorado,2023,22,46605,871,98
Connecticut,2023,22,43130,551,70
Delaware,2023,22,11640,86,20
District of Columbia,2023,22,5938,210,4
Florida,2023,22,243805,7702,358
Georgia,2023,22,78062,1808,101
Hawaii,2023,22,28547,695,40
Idaho,2023,22,8959,51,30
Illinois,2023,22,70041,769,176
Indiana,2023,22,55277,574,101
Iowa,2023,22,3015,28,14
Kansas,2023,22,14810,92,30
Kentucky,2023,22,28073,228,71
Louisiana,2023,22,42368,518,87
Maine,2023,22,13627,112,47
Maryland,2023,22,44208,797,65
Massachusetts,2023,22,78667,991,94
Michigan,2023,22,88297,790,149
Minnesota,2023,22,16649,299,61
Mississippi,2023,22,10656,188,28
Missouri,2023,22,28546,254,41
Montana,2023,22,7640,60,28
Nebraska,2023,22,14479,244,83
Nevada,2023,22,15938,103,29
New Hampshire,2023,22,588,1,8
New Jersey,2023,22,26874,788,30
New Meico,2023,22,21363,482,38
New York,2023,22,58144,762,118
North Carolina,2023,22,87443,1011,131
North Dakota,2023,22,0,0,0
Ohio,2023,22,35783,560,74
Oklahoma,2023,22,19394,149,34
Oregon,2023,22,41351,445,88
Pennsylvania,2023,22,66227,528,94
Rhode Island,2023,22,11771,76,23
South Carolina,2023,22,33954,506,39
South Dakota,2023,22,7994,63,31
Tennessee,2023,22,34072,547,100
Teas,2023,22,48304,1086,51
Utah,2023,22,17685,236,48
Vermont,2023,22,5818,22,11
Virginia,2023,22,110767,2343,178
Washington,2023,22,43042,465,71
West Virginia,2023,22,9767,80,43
Wisconsin,2023,22,22028,210,34
Wyoming,2023,22,1949,16,11
Commonwealth of the Northern Mariana Islands,2023,22,,,
Puerto Rico,2023,22,1583,69,5
Virgin Islands,2023,22,1180,10,4
New York City,2023,22,107879,4394,103
Alabama,2023,23,45589,573,105
Alaska,2023,23,4060,65,12
Arizona,2023,23,20486,201,41
Arkansas,2023,23,13763,122,44
California,2023,23,269679,7683,196
Colorado,2023,23,46191,741,96
Connecticut,2023,23,42875,428,70
Delaware,2023,23,12110,67,19
District of Columbia,2023,23,5858,304,4
Florida,2023,23,236920,6375,358
Georgia,2023,23,75894,1384,98
Hawaii,2023,23,33046,616,40
Idaho,2023,23,8164,60,29
Illinois,2023,23,70705,613,173
Indiana,2023,23,55070,520,101
Iowa,2023,23,3678,27,14
Kansas,2023,23,15005,76,28
Kentucky,2023,23,28315,199,70
Louisiana,2023,23,41747,389,87
Maine,2023,23,13482,104,46
Maryland,2023,23,45073,679,64
Massachusetts,2023,23,81574,940,92
Michigan,2023,23,88854,708,151
Minnesota,2023,23,31128,286,63
Mississippi,2023,23,11556,194,30
Missouri,2023,23,28828,197,41
Montana,2023,23,7762,52,28
Nebraska,2023,23,14983,164,82
Nevada,2023,23,10395,143,25
New Hampshire,2023,23,813,1,8
New Jersey,2023,23,26974,687,29
New Meico,2023,23,20123,385,39
New York,2023,23,57973,823,118
North Carolina,2023,23,87936,923,128
North Dakota,2023,23,3447,56,9
Ohio,2023,23,35534,436,74
Oklahoma,2023,23,17709,75,30
Oregon,2023,23,41875,445,86
Pennsylvania,2023,23,65475,483,95
Rhode Island,2023,23,12271,102,23
South Carolina,2023,23,34553,532,39
South Dakota,2023,23,7841,44,31
Tennessee,2023,23,34493,458,100
Teas,2023,23,47802,696,50
Utah,2023,23,17838,188,47
Vermont,2023,23,5765,17,12
Virginia,2023,23,110088,2126,178
Washington,2023,23,46329,551,71
West Virginia,2023,23,9803,75,43
Wisconsin,2023,23,22113,152,34
Wyoming,2023,23,2039,17,11
Commonwealth of the Northern Mariana Islands,2023,23,,,
Puerto Rico,2023,23,2071,78,7
Virgin Islands,2023,23,1076,4,4
New York City,2023,23,106199,3653,104
Alabama,2023,24,45068,551,104
Alaska,2023,24,4133,70,12
Arizona,2023,24,20852,177,43
Arkansas,2023,24,13714,81,43
California,2023,24,264161,7081,198
Colorado,2023,24,47123,666,98
Connecticut,2023,24,42092,443,70
Delaware,2023,24,11734,65,19
District of Columbia,2023,24,5605,211,4
Florida,2023,24,238594,5726,358
Georgia,2023,24,71736,1132,95
Hawaii,2023,24,27449,595,40
Idaho,2023,24,8578,40,30
Illinois,2023,24,69174,530,175
Indiana,2023,24,53564,403,101
Iowa,2023,24,3428,16,14
Kansas,2023,24,15296,70,28
Kentucky,2023,24,25654,191,70
Louisiana,2023,24,42323,309,87
Maine,2023,24,14060,99,47
Maryland,2023,24,44451,667,63
Massachusetts,2023,24,83174,886,92
Michigan,2023,24,83643,613,147
Minnesota,2023,24,30689,252,67
Mississippi,2023,24,11723,183,31
Missouri,2023,24,27740,222,41
Montana,2023,24,6646,45,28
Nebraska,2023,24,13813,181,83
Nevada,2023,24,10013,150,25
New Hampshire,2023,24,1069,6,9
New Jersey,2023,24,28273,683,30
New Meico,2023,24,20752,370,39
New York,2023,24,59099,797,116
North Carolina,2023,24,87810,810,128
North Dakota,2023,24,3359,37,9
Ohio,2023,24,34520,426,72
Oklahoma,2023,24,14127,88,32
Oregon,2023,24,41250,414,88
Pennsylvania,2023,24,65588,440,94
Rhode Island,2023,24,11324,91,22
South Carolina,2023,24,33967,468,39
South Dakota,2023,24,8378,48,31
Tennessee,2023,24,34024,355,102
Teas,2023,24,47560,752,50
Utah,2023,24,17622,211,48
Vermont,2023,24,5672,21,12
Virginia,2023,24,109424,1853,178
Washington,2023,24,45917,472,71
West Virginia,2023,24,11636,63,44
Wisconsin,2023,24,21097,139,33
Wyoming,2023,24,2248,10,11
Commonwealth of the Northern Mariana Islands,2023,24,,,
Puerto Rico,2023,24,1967,80,6
Virgin Islands,2023,24,803,4,3
New York City,2023,24,106732,3568,103
Alabama,2023,25,43557,412,100
Alaska,2023,25,4318,59,12
Arizona,2023,25,21852,177,43
Arkansas,2023,25,14191,91,44
California,2023,25,262972,6583,201
Colorado,2023,25,48884,594,98
Connecticut,2023,25,39945,366,70
Delaware,2023,25,11026,48,19
District of Columbia,2023,25,5208,187,4
Florida,2023,25,233953,5377,358
Georgia,2023,25,73146,1055,99
Hawaii,2023,25,36375,627,39
Idaho,2023,25,8692,52,30
Illinois,2023,25,69140,468,171
Indiana,2023,25,54187,372,98
Iowa,2023,25,3403,14,14
