state,year,week,total_patients,ili_patients,providers
Alabama,2018,51,38533,1585,81
Alaska,2018,51,4842,143,17
Arizona,2018,51,16771,547,46
Arkansas,2018,51,3691,119,13
California,2018,51,40780,1288,107
Colorado,2018,51,42967,2571,70
Connecticut,2018,51,4648,194,22
Delaware,2018,51,2487,31,10
District of Columbia,2018,51,15303,442,6
Florida,2018,51,,,
Georgia,2018,51,82375,5436,96
Hawaii,2018,51,1492,24,18
Idaho,2018,51,1565,10,8
Illinois,2018,51,47120,987,97
Indiana,2018,51,3351,129,24
Iowa,2018,51,5493,41,20
Kansas,2018,51,13348,245,37
Kentucky,2018,51,11347,405,39
Louisiana,2018,51,49801,2084,95
Maine,2018,51,13648,160,55
Maryland,2018,51,7607,183,27
Massachusetts,2018,51,48138,1089,56
Michigan,2018,51,15898,388,82
Minnesota,2018,51,6395,165,22
Mississippi,2018,51,15046,687,48
Missouri,2018,51,2395,61,17
Montana,2018,51,7992,77,34
Nebraska,2018,51,9062,485,47
Nevada,2018,51,9421,256,28
New Hampshire,2018,51,3067,22,16
New Jersey,2018,51,33690,1617,44
New Meico,2018,51,21253,911,47
New York,2018,51,58864,1427,133
North Carolina,2018,51,96749,1928,152
North Dakota,2018,51,3731,33,12
Ohio,2018,51,15311,200,42
Oklahoma,2018,51,7448,304,22
Oregon,2018,51,34381,547,73
Pennsylvania,2018,51,50854,1092,129
Rhode Island,2018,51,5190,58,22
South Carolina,2018,51,15022,619,24
South Dakota,2018,51,14847,96,32
Tennessee,2018,51,5795,138,46
Teas,2018,51,25338,1255,102
Utah,2018,51,21343,717,51
Vermont,2018,51,5342,99,16
Virginia,2018,51,81615,2543,117
Washington,2018,51,4199,39,28
West Virginia,2018,51,13916,231,46
Wisconsin,2018,51,20207,371,41
Wyoming,2018,51,3706,45,19
Puerto Rico,2018,51,1934,239,4
Virgin Islands,2018,51,948,6,4
New York City,2018,51,96526,3600,70
Alabama,2018,52,38097,1977,81
Alaska,2018,52,4411,128,17
Arizona,2018,52,13358,567,46
Arkansas,2018,52,2217,97,13
California,2018,52,27856,935,105
Colorado,2018,52,35124,2608,69
Connecticut,2018,52,4007,187,21
Delaware,2018,52,1241,10,10
District of Columbia,2018,52,9362,270,6
Florida,2018,52,,,
Georgia,2018,52,82000,5994,98
Hawaii,2018,52,724,15,15
Idaho,2018,52,627,14,7
Illinois,2018,52,40167,1339,97
Indiana,2018,52,1849,104,25
Iowa,2018,52,3448,67,21
Kansas,2018,52,12334,410,36
Kentucky,2018,52,9561,423,34
Louisiana,2018,52,50902,2678,92
Maine,2018,52,12490,197,54
Maryland,2018,52,4346,124,25
Massachusetts,2018,52,41037,1361,58
Michigan,2018,52,14549,342,83
Minnesota,2018,52,3587,122,20
Mississippi,2018,52,15687,791,48
Missouri,2018,52,1530,72,17
Montana,2018,52,6385,139,31
Nebraska,2018,52,8297,722,47
Nevada,2018,52,8912,300,29
New Hampshire,2018,52,1120,20,15
New Jersey,2018,52,32325,2072,44
New Meico,2018,52,20266,1314,48
New York,2018,52,58119,1757,134
North Carolina,2018,52,92145,2569,151
North Dakota,2018,52,1858,50,12
Ohio,2018,52,10820,236,46
Oklahoma,2018,52,6901,374,22
Oregon,2018,52,33098,581,75
Pennsylvania,2018,52,47791,1442,131
Rhode Island,2018,52,3201,80,22
South Carolina,2018,52,14634,802,24
South Dakota,2018,52,8220,122,14
Tennessee,2018,52,4737,186,48
Teas,2018,52,20574,1317,102
Utah,2018,52,17225,864,51
Vermont,2018,52,4941,158,16
Virginia,2018,52,75382,2739,122
Washington,2018,52,3417,45,28
West Virginia,2018,52,6242,127,46
Wisconsin,2018,52,17624,335,40
Wyoming,2018,52,2655,73,20
Puerto Rico,2018,52,2043,183,4
Virgin Islands,2018,52,1194,23,5
New York City,2018,52,91792,4096,63
Alabama,2019,1,40496,1724,81
Alaska,2019,1,4454,137,16
Arizona,2019,1,14799,587,46
Arkansas,2019,1,2901,87,13
California,2019,1,30557,1021,113
Colorado,2019,1,37861,2268,69
Connecticut,2019,1,5218,261,23
Delaware,2019,1,1743,13,10
District of Columbia,2019,1,11736,304,6
Florida,2019,1,,,
Georgia,2019,1,81985,4532,98
Hawaii,2019,1,1099,32,17
Idaho,2019,1,931,12,6
Illinois,2019,1,43073,1262,98
Indiana,2019,1,2560,98,24
Iowa,2019,1,4453,64,21
Kansas,2019,1,13787,399,37
Kentucky,2019,1,12574,515,43
Louisiana,2019,1,52057,2409,96
Maine,2019,1,14522,251,54
Maryland,2019,1,6530,222,25
Massachusetts,2019,1,45633,1461,58
Michigan,2019,1,22502,425,87
Minnesota,2019,1,4067,133,21
Mississippi,2019,1,16205,661,48
Missouri,2019,1,1927,56,17
Montana,2019,1,7433,122,35
Nebraska,2019,1,8608,658,47
Nevada,2019,1,9185,233,29
New Hampshire,2019,1,1846,15,16
New Jersey,2019,1,33758,1953,43
New Meico,2019,1,21174,1109,48
New York,2019,1,61769,1727,135
North Carolina,2019,1,102882,2774,156
North Dakota,2019,1,3711,26,13
Ohio,2019,1,14514,188,47
Oklahoma,2019,1,6737,346,23
Oregon,2019,1,35018,749,76
Pennsylvania,2019,1,51664,1474,131
Rhode Island,2019,1,4206,87,23
South Carolina,2019,1,15242,723,26
South Dakota,2019,1,9683,162,14
Tennessee,2019,1,5440,187,50
Teas,2019,1,24340,1244,111
Utah,2019,1,19600,908,51
Vermont,2019,1,6316,165,18
Virginia,2019,1,89618,3264,123
Washington,2019,1,4112,57,28
West Virginia,2019,1,10365,209,48
Wisconsin,2019,1,20260,379,40
Wyoming,2019,1,3053,66,19
Puerto Rico,2019,1,2102,207,4
Virgin Islands,2019,1,885,8,3
New York City,2019,1,94969,3839,67
Alabama,2019,2,40318,1363,81
Alaska,2019,2,4891,126,17
Arizona,2019,2,19587,821,47
Arkansas,2019,2,4434,98,14
California,2019,2,45057,1415,115
Colorado,2019,2,43398,2277,69
Connecticut,2019,2,5916,304,23
Delaware,2019,2,2768,19,10
District of Columbia,2019,2,14907,398,5
Florida,2019,2,,,
Georgia,2019,2,78378,3156,100
Hawaii,2019,2,1808,55,17
Idaho,2019,2,1583,24,7
Illinois,2019,2,46670,1019,98
Indiana,2019,2,4449,144,25
Iowa,2019,2,5962,67,21
Kansas,2019,2,14840,431,37
Kentucky,2019,2,11155,499,40
Louisiana,2019,2,50495,2019,95
Maine,2019,2,13986,266,55
Maryland,2019,2,7732,215,27
Massachusetts,2019,2,50391,1463,58
Michigan,2019,2,28229,455,88
Minnesota,2019,2,6381,303,22
Mississippi,2019,2,16945,604,47
Missouri,2019,2,2654,52,17
Montana,2019,2,9419,147,35
Nebraska,2019,2,9559,593,48
Nevada,2019,2,9488,268,29
New Hampshire,2019,2,2336,81,15
New Jersey,2019,2,33462,1738,44
New Meico,2019,2,21240,950,49
New York,2019,2,59689,1514,132
North Carolina,2019,2,102604,2410,154
North Dakota,2019,2,3720,56,12
Ohio,2019,2,17606,191,46
Oklahoma,2019,2,7842,349,22
Oregon,2019,2,36951,605,77
